year_month,site_code,region,cost_center,spend_category,budget_usd,actual_spend_usd,variance_usd,variance_pct,vendor_name,po_number
2024-06,ASH01,AMER-East,OPS-DC,Maintenance Opex,302190,319059,16869,5.58,CBRE Ops,PO100241
2024-06,ASH01,AMER-East,OPS-FAC,Power Opex,440400,472075,31675,7.19,CBRE Ops,PO100242
2024-06,ASH01,AMER-East,OPS-DC,Capex Replacement,410629,411908,1279,0.31,EcoCool,PO100243
2024-06,ASH01,AMER-East,FIN-CAPEX,Vendor Services,82984,92188,9204,11.09,DataVolt,PO100244
2024-06,ATL01,AMER-East,FIN-CAPEX,Maintenance Opex,125552,140763,15211,12.12,PowerGrid Mechanical,PO100245
2024-06,ATL01,AMER-East,OPS-DC,Power Opex,111677,108382,-3295,-2.95,CBRE Ops,PO100246
2024-06,ATL01,AMER-East,OPS-DC,Capex Replacement,143164,165704,22540,15.74,Schneider Services,PO100247
2024-06,ATL01,AMER-East,OPS-FAC,Vendor Services,34744,32947,-1797,-5.17,FacilityPro,PO100248
2024-06,CHI01,AMER-East,OPS-FAC,Maintenance Opex,167825,191967,24142,14.39,ABB Services,PO100249
2024-06,CHI01,AMER-East,OPS-FAC,Power Opex,171704,183578,11874,6.92,PowerGrid Mechanical,PO100250
2024-06,CHI01,AMER-East,ENG-SVC,Capex Replacement,281234,258983,-22251,-7.91,Vertiv Services,PO100251
2024-06,CHI01,AMER-East,ENG-SVC,Vendor Services,39545,42253,2708,6.85,PowerGrid Mechanical,PO100252
2024-06,DAL01,AMER-Central,OPS-DC,Maintenance Opex,362867,373310,10443,2.88,Schneider Services,PO100253
2024-06,DAL01,AMER-Central,OPS-FAC,Power Opex,416346,481885,65539,15.74,CBRE Ops,PO100254
2024-06,DAL01,AMER-Central,ENG-SVC,Capex Replacement,561902,602467,40565,7.22,Schneider Services,PO100255
2024-06,DAL01,AMER-Central,OPS-FAC,Vendor Services,61156,66316,5160,8.44,FacilityPro,PO100256
2024-06,DEN01,AMER-Central,FIN-CAPEX,Maintenance Opex,77252,71271,-5981,-7.74,Schneider Services,PO100257
2024-06,DEN01,AMER-Central,OPS-DC,Power Opex,98500,110771,12271,12.46,PowerGrid Mechanical,PO100258
2024-06,DEN01,AMER-Central,OPS-DC,Capex Replacement,61367,62475,1108,1.81,DataVolt,PO100259
2024-06,DEN01,AMER-Central,OPS-DC,Vendor Services,22432,20896,-1536,-6.85,EcoCool,PO100260
2024-06,LAX01,AMER-West,ENG-SVC,Maintenance Opex,124460,117727,-6733,-5.41,FacilityPro,PO100261
2024-06,LAX01,AMER-West,OPS-DC,Power Opex,195519,191570,-3949,-2.02,EcoCool,PO100262
2024-06,LAX01,AMER-West,ENG-SVC,Capex Replacement,173908,168322,-5586,-3.21,FacilityPro,PO100263
2024-06,LAX01,AMER-West,FIN-CAPEX,Vendor Services,22151,25457,3306,14.92,Vertiv Services,PO100264
2024-06,MIA01,AMER-Central,FIN-CAPEX,Maintenance Opex,83548,92612,9064,10.85,CBRE Ops,PO100265
2024-06,MIA01,AMER-Central,FIN-CAPEX,Power Opex,113605,109778,-3827,-3.37,DataVolt,PO100266
2024-06,MIA01,AMER-Central,OPS-DC,Capex Replacement,129294,134385,5091,3.94,CBRE Ops,PO100267
2024-06,MIA01,AMER-Central,OPS-DC,Vendor Services,16574,18209,1635,9.86,FacilityPro,PO100268
2024-06,NYC01,AMER-East,ENG-SVC,Maintenance Opex,154970,163615,8645,5.58,Schneider Services,PO100269
2024-06,NYC01,AMER-East,OPS-DC,Power Opex,217583,247131,29548,13.58,PowerGrid Mechanical,PO100270
2024-06,NYC01,AMER-East,OPS-DC,Capex Replacement,186964,189283,2319,1.24,PowerGrid Mechanical,PO100271
2024-06,NYC01,AMER-East,FIN-CAPEX,Vendor Services,32877,36451,3574,10.87,DataVolt,PO100272
2024-06,PHX01,AMER-West,OPS-DC,Maintenance Opex,69708,71127,1419,2.04,EcoCool,PO100273
2024-06,PHX01,AMER-West,OPS-FAC,Power Opex,118180,121823,3643,3.08,PowerGrid Mechanical,PO100274
2024-06,PHX01,AMER-West,ENG-SVC,Capex Replacement,57504,58262,758,1.32,PowerGrid Mechanical,PO100275
2024-06,PHX01,AMER-West,OPS-DC,Vendor Services,23513,22587,-926,-3.94,FacilityPro,PO100276
2024-06,SEA01,AMER-West,FIN-CAPEX,Maintenance Opex,93676,107764,14088,15.04,Schneider Services,PO100277
2024-06,SEA01,AMER-West,ENG-SVC,Power Opex,117825,108752,-9073,-7.7,Schneider Services,PO100278
2024-06,SEA01,AMER-West,FIN-CAPEX,Capex Replacement,111485,123132,11647,10.45,DataVolt,PO100279
2024-06,SEA01,AMER-West,OPS-DC,Vendor Services,33757,35075,1318,3.9,Schneider Services,PO100280
2024-06,SJC01,AMER-West,FIN-CAPEX,Maintenance Opex,309394,317925,8531,2.76,DataVolt,PO100281
2024-06,SJC01,AMER-West,ENG-SVC,Power Opex,330911,382209,51298,15.5,Vertiv Services,PO100282
2024-06,SJC01,AMER-West,OPS-FAC,Capex Replacement,495664,566199,70535,14.23,Schneider Services,PO100283
2024-06,SJC01,AMER-West,OPS-DC,Vendor Services,47474,50718,3244,6.83,PowerGrid Mechanical,PO100284
2024-06,TOR01,AMER-Central,OPS-FAC,Maintenance Opex,197332,205705,8373,4.24,PowerGrid Mechanical,PO100285
2024-06,TOR01,AMER-Central,OPS-FAC,Power Opex,190646,198612,7966,4.18,FacilityPro,PO100286
2024-06,TOR01,AMER-Central,ENG-SVC,Capex Replacement,158601,176444,17843,11.25,EcoCool,PO100287
2024-06,TOR01,AMER-Central,OPS-FAC,Vendor Services,47887,47097,-790,-1.65,Vertiv Services,PO100288
2024-07,ASH01,AMER-East,OPS-FAC,Maintenance Opex,373011,371768,-1243,-0.33,PowerGrid Mechanical,PO100289
2024-07,ASH01,AMER-East,OPS-FAC,Power Opex,437983,423262,-14721,-3.36,CBRE Ops,PO100290
2024-07,ASH01,AMER-East,OPS-DC,Capex Replacement,510622,530286,19664,3.85,Vertiv Services,PO100291
2024-07,ASH01,AMER-East,FIN-CAPEX,Vendor Services,92827,88532,-4295,-4.63,EcoCool,PO100292
2024-07,ATL01,AMER-East,FIN-CAPEX,Maintenance Opex,154183,168754,14571,9.45,Schneider Services,PO100293
2024-07,ATL01,AMER-East,OPS-DC,Power Opex,90364,102251,11887,13.15,DataVolt,PO100294
2024-07,ATL01,AMER-East,ENG-SVC,Capex Replacement,166932,178955,12023,7.2,ABB Services,PO100295
2024-07,ATL01,AMER-East,OPS-DC,Vendor Services,53658,57209,3551,6.62,FacilityPro,PO100296
2024-07,CHI01,AMER-East,FIN-CAPEX,Maintenance Opex,193781,204335,10554,5.45,ABB Services,PO100297
2024-07,CHI01,AMER-East,OPS-FAC,Power Opex,217784,213102,-4682,-2.15,DataVolt,PO100298
2024-07,CHI01,AMER-East,FIN-CAPEX,Capex Replacement,203615,217807,14192,6.97,Schneider Services,PO100299
2024-07,CHI01,AMER-East,ENG-SVC,Vendor Services,46900,43877,-3023,-6.45,ABB Services,PO100300
2024-07,DAL01,AMER-Central,OPS-FAC,Maintenance Opex,381427,400194,18767,4.92,Schneider Services,PO100301
2024-07,DAL01,AMER-Central,OPS-FAC,Power Opex,450415,478257,27842,6.18,FacilityPro,PO100302
2024-07,DAL01,AMER-Central,OPS-DC,Capex Replacement,323182,321311,-1871,-0.58,Schneider Services,PO100303
2024-07,DAL01,AMER-Central,FIN-CAPEX,Vendor Services,56473,64469,7996,14.16,PowerGrid Mechanical,PO100304
2024-07,DEN01,AMER-Central,OPS-FAC,Maintenance Opex,82245,78747,-3498,-4.25,EcoCool,PO100305
2024-07,DEN01,AMER-Central,OPS-FAC,Power Opex,88060,95649,7589,8.62,ABB Services,PO100306
2024-07,DEN01,AMER-Central,OPS-DC,Capex Replacement,96483,88777,-7706,-7.99,ABB Services,PO100307
2024-07,DEN01,AMER-Central,OPS-FAC,Vendor Services,15603,17263,1660,10.64,ABB Services,PO100308
2024-07,LAX01,AMER-West,ENG-SVC,Maintenance Opex,101658,102629,971,0.96,Schneider Services,PO100309
2024-07,LAX01,AMER-West,OPS-FAC,Power Opex,207545,211703,4158,2.0,ABB Services,PO100310
2024-07,LAX01,AMER-West,OPS-FAC,Capex Replacement,124907,142607,17700,14.17,CBRE Ops,PO100311
2024-07,LAX01,AMER-West,OPS-DC,Vendor Services,19537,20270,733,3.75,EcoCool,PO100312
2024-07,MIA01,AMER-Central,ENG-SVC,Maintenance Opex,28912,32852,3940,13.63,Vertiv Services,PO100313
2024-07,MIA01,AMER-Central,OPS-DC,Power Opex,119024,122039,3015,2.53,PowerGrid Mechanical,PO100314
2024-07,MIA01,AMER-Central,OPS-DC,Capex Replacement,22080,25193,3113,14.1,DataVolt,PO100315
2024-07,MIA01,AMER-Central,OPS-FAC,Vendor Services,6883,7355,472,6.86,PowerGrid Mechanical,PO100316
2024-07,NYC01,AMER-East,OPS-DC,Maintenance Opex,130254,147471,17217,13.22,EcoCool,PO100317
2024-07,NYC01,AMER-East,OPS-DC,Power Opex,209753,207295,-2458,-1.17,FacilityPro,PO100318
2024-07,NYC01,AMER-East,OPS-FAC,Capex Replacement,193985,196990,3005,1.55,Schneider Services,PO100319
2024-07,NYC01,AMER-East,OPS-DC,Vendor Services,49293,48008,-1285,-2.61,FacilityPro,PO100320
2024-07,PHX01,AMER-West,OPS-FAC,Maintenance Opex,83773,80942,-2831,-3.38,EcoCool,PO100321
2024-07,PHX01,AMER-West,OPS-DC,Power Opex,111233,105172,-6061,-5.45,EcoCool,PO100322
2024-07,PHX01,AMER-West,ENG-SVC,Capex Replacement,45416,52082,6666,14.68,FacilityPro,PO100323
2024-07,PHX01,AMER-West,OPS-DC,Vendor Services,22293,23249,956,4.29,FacilityPro,PO100324
2024-07,SEA01,AMER-West,FIN-CAPEX,Maintenance Opex,113829,106049,-7780,-6.83,Vertiv Services,PO100325
2024-07,SEA01,AMER-West,OPS-DC,Power Opex,103335,114918,11583,11.21,Schneider Services,PO100326
2024-07,SEA01,AMER-West,OPS-DC,Capex Replacement,159625,152718,-6907,-4.33,FacilityPro,PO100327
2024-07,SEA01,AMER-West,OPS-DC,Vendor Services,32152,30809,-1343,-4.18,ABB Services,PO100328
2024-07,SJC01,AMER-West,FIN-CAPEX,Maintenance Opex,257416,292989,35573,13.82,DataVolt,PO100329
2024-07,SJC01,AMER-West,OPS-DC,Power Opex,427608,445203,17595,4.11,EcoCool,PO100330
2024-07,SJC01,AMER-West,OPS-DC,Capex Replacement,487746,521155,33409,6.85,DataVolt,PO100331
2024-07,SJC01,AMER-West,OPS-DC,Vendor Services,68478,65821,-2657,-3.88,ABB Services,PO100332
2024-07,TOR01,AMER-Central,OPS-FAC,Maintenance Opex,203942,205513,1571,0.77,CBRE Ops,PO100333
2024-07,TOR01,AMER-Central,OPS-FAC,Power Opex,187495,175311,-12184,-6.5,Schneider Services,PO100334
2024-07,TOR01,AMER-Central,FIN-CAPEX,Capex Replacement,198829,198282,-547,-0.28,ABB Services,PO100335
2024-07,TOR01,AMER-Central,OPS-DC,Vendor Services,42756,42251,-505,-1.18,CBRE Ops,PO100336
2024-08,ASH01,AMER-East,OPS-FAC,Maintenance Opex,312007,303580,-8427,-2.7,Vertiv Services,PO100337
2024-08,ASH01,AMER-East,FIN-CAPEX,Power Opex,443407,509786,66379,14.97,FacilityPro,PO100338
2024-08,ASH01,AMER-East,ENG-SVC,Capex Replacement,440854,433739,-7115,-1.61,PowerGrid Mechanical,PO100339
2024-08,ASH01,AMER-East,OPS-DC,Vendor Services,83200,93704,10504,12.62,DataVolt,PO100340
2024-08,ATL01,AMER-East,OPS-DC,Maintenance Opex,131975,136622,4647,3.52,CBRE Ops,PO100341
2024-08,ATL01,AMER-East,OPS-FAC,Power Opex,108428,121424,12996,11.99,CBRE Ops,PO100342
2024-08,ATL01,AMER-East,OPS-DC,Capex Replacement,196019,184699,-11320,-5.77,PowerGrid Mechanical,PO100343
2024-08,ATL01,AMER-East,OPS-FAC,Vendor Services,28574,27020,-1554,-5.44,FacilityPro,PO100344
2024-08,CHI01,AMER-East,FIN-CAPEX,Maintenance Opex,246510,238056,-8454,-3.43,FacilityPro,PO100345
2024-08,CHI01,AMER-East,OPS-DC,Power Opex,177271,194624,17353,9.79,EcoCool,PO100346
2024-08,CHI01,AMER-East,OPS-DC,Capex Replacement,287726,281767,-5959,-2.07,Schneider Services,PO100347
2024-08,CHI01,AMER-East,FIN-CAPEX,Vendor Services,67974,77821,9847,14.49,CBRE Ops,PO100348
2024-08,DAL01,AMER-Central,FIN-CAPEX,Maintenance Opex,422761,450626,27865,6.59,Schneider Services,PO100349
2024-08,DAL01,AMER-Central,ENG-SVC,Power Opex,395107,425533,30426,7.7,PowerGrid Mechanical,PO100350
2024-08,DAL01,AMER-Central,OPS-FAC,Capex Replacement,565570,633004,67434,11.92,Vertiv Services,PO100351
2024-08,DAL01,AMER-Central,FIN-CAPEX,Vendor Services,112242,109154,-3088,-2.75,EcoCool,PO100352
2024-08,DEN01,AMER-Central,OPS-DC,Maintenance Opex,59664,68840,9176,15.38,ABB Services,PO100353
2024-08,DEN01,AMER-Central,OPS-DC,Power Opex,88539,97762,9223,10.42,ABB Services,PO100354
2024-08,DEN01,AMER-Central,FIN-CAPEX,Capex Replacement,58573,55449,-3124,-5.33,CBRE Ops,PO100355
2024-08,DEN01,AMER-Central,OPS-FAC,Vendor Services,19653,20609,956,4.86,Schneider Services,PO100356
2024-08,LAX01,AMER-West,OPS-DC,Maintenance Opex,170625,164866,-5759,-3.38,FacilityPro,PO100357
2024-08,LAX01,AMER-West,FIN-CAPEX,Power Opex,207827,197679,-10148,-4.88,DataVolt,PO100358
2024-08,LAX01,AMER-West,OPS-DC,Capex Replacement,254384,255695,1311,0.52,DataVolt,PO100359
2024-08,LAX01,AMER-West,OPS-DC,Vendor Services,51487,50284,-1203,-2.34,Vertiv Services,PO100360
2024-08,MIA01,AMER-Central,ENG-SVC,Maintenance Opex,52636,49858,-2778,-5.28,Schneider Services,PO100361
2024-08,MIA01,AMER-Central,OPS-FAC,Power Opex,107180,118263,11083,10.34,PowerGrid Mechanical,PO100362
2024-08,MIA01,AMER-Central,OPS-DC,Capex Replacement,57997,58942,945,1.63,Schneider Services,PO100363
2024-08,MIA01,AMER-Central,OPS-DC,Vendor Services,13394,13172,-222,-1.66,FacilityPro,PO100364
2024-08,NYC01,AMER-East,OPS-FAC,Maintenance Opex,126232,141871,15639,12.39,FacilityPro,PO100365
2024-08,NYC01,AMER-East,FIN-CAPEX,Power Opex,177044,201645,24601,13.9,DataVolt,PO100366
2024-08,NYC01,AMER-East,FIN-CAPEX,Capex Replacement,187097,178785,-8312,-4.44,Vertiv Services,PO100367
2024-08,NYC01,AMER-East,OPS-FAC,Vendor Services,23983,27677,3694,15.4,EcoCool,PO100368
2024-08,PHX01,AMER-West,OPS-FAC,Maintenance Opex,42127,41813,-314,-0.75,EcoCool,PO100369
2024-08,PHX01,AMER-West,ENG-SVC,Power Opex,105903,114149,8246,7.79,PowerGrid Mechanical,PO100370
2024-08,PHX01,AMER-West,OPS-FAC,Capex Replacement,24979,24205,-774,-3.1,PowerGrid Mechanical,PO100371
2024-08,PHX01,AMER-West,OPS-DC,Vendor Services,12499,13800,1301,10.41,CBRE Ops,PO100372
2024-08,SEA01,AMER-West,OPS-FAC,Maintenance Opex,145797,155182,9385,6.44,Vertiv Services,PO100373
2024-08,SEA01,AMER-West,FIN-CAPEX,Power Opex,80895,91677,10782,13.33,DataVolt,PO100374
2024-08,SEA01,AMER-West,ENG-SVC,Capex Replacement,255964,275562,19598,7.66,ABB Services,PO100375
2024-08,SEA01,AMER-West,FIN-CAPEX,Vendor Services,49921,57377,7456,14.94,FacilityPro,PO100376
2024-08,SJC01,AMER-West,OPS-DC,Maintenance Opex,303094,338906,35812,11.82,FacilityPro,PO100377
2024-08,SJC01,AMER-West,OPS-DC,Power Opex,372135,413985,41850,11.25,EcoCool,PO100378
2024-08,SJC01,AMER-West,OPS-DC,Capex Replacement,672380,693765,21385,3.18,FacilityPro,PO100379
2024-08,SJC01,AMER-West,OPS-DC,Vendor Services,58122,61150,3028,5.21,Schneider Services,PO100380
2024-08,TOR01,AMER-Central,OPS-DC,Maintenance Opex,191418,183103,-8315,-4.34,PowerGrid Mechanical,PO100381
2024-08,TOR01,AMER-Central,OPS-DC,Power Opex,197046,196839,-207,-0.11,DataVolt,PO100382
2024-08,TOR01,AMER-Central,FIN-CAPEX,Capex Replacement,254396,246393,-8003,-3.15,EcoCool,PO100383
2024-08,TOR01,AMER-Central,OPS-DC,Vendor Services,35574,35063,-511,-1.44,Vertiv Services,PO100384
2024-09,ASH01,AMER-East,FIN-CAPEX,Maintenance Opex,259492,274465,14973,5.77,ABB Services,PO100385
2024-09,ASH01,AMER-East,OPS-FAC,Power Opex,465267,468934,3667,0.79,ABB Services,PO100386
2024-09,ASH01,AMER-East,FIN-CAPEX,Capex Replacement,290150,269247,-20903,-7.2,DataVolt,PO100387
2024-09,ASH01,AMER-East,OPS-DC,Vendor Services,76199,78321,2122,2.78,FacilityPro,PO100388
2024-09,ATL01,AMER-East,OPS-FAC,Maintenance Opex,109094,123651,14557,13.34,ABB Services,PO100389
2024-09,ATL01,AMER-East,OPS-FAC,Power Opex,105783,116690,10907,10.31,ABB Services,PO100390
2024-09,ATL01,AMER-East,OPS-DC,Capex Replacement,219690,245497,25807,11.75,ABB Services,PO100391
2024-09,ATL01,AMER-East,ENG-SVC,Vendor Services,45032,42366,-2666,-5.92,EcoCool,PO100392
2024-09,CHI01,AMER-East,ENG-SVC,Maintenance Opex,199284,218583,19299,9.68,Schneider Services,PO100393
2024-09,CHI01,AMER-East,ENG-SVC,Power Opex,202424,214051,11627,5.74,PowerGrid Mechanical,PO100394
2024-09,CHI01,AMER-East,OPS-DC,Capex Replacement,186103,196810,10707,5.75,EcoCool,PO100395
2024-09,CHI01,AMER-East,OPS-DC,Vendor Services,67306,69229,1923,2.86,CBRE Ops,PO100396
2024-09,DAL01,AMER-Central,FIN-CAPEX,Maintenance Opex,362020,405537,43517,12.02,Schneider Services,PO100397
2024-09,DAL01,AMER-Central,OPS-DC,Power Opex,414570,449098,34528,8.33,Schneider Services,PO100398
2024-09,DAL01,AMER-Central,OPS-DC,Capex Replacement,566754,652970,86216,15.21,FacilityPro,PO100399
2024-09,DAL01,AMER-Central,OPS-FAC,Vendor Services,120221,113853,-6368,-5.3,PowerGrid Mechanical,PO100400
2024-09,DEN01,AMER-Central,OPS-FAC,Maintenance Opex,55624,60673,5049,9.08,PowerGrid Mechanical,PO100401
2024-09,DEN01,AMER-Central,OPS-FAC,Power Opex,108106,109939,1833,1.7,DataVolt,PO100402
2024-09,DEN01,AMER-Central,OPS-DC,Capex Replacement,51850,48854,-2996,-5.78,Vertiv Services,PO100403
2024-09,DEN01,AMER-Central,FIN-CAPEX,Vendor Services,9884,10743,859,8.69,Vertiv Services,PO100404
2024-09,LAX01,AMER-West,OPS-FAC,Maintenance Opex,95353,106174,10821,11.35,Schneider Services,PO100405
2024-09,LAX01,AMER-West,OPS-FAC,Power Opex,220479,222034,1555,0.71,ABB Services,PO100406
2024-09,LAX01,AMER-West,OPS-DC,Capex Replacement,137131,139185,2054,1.5,Schneider Services,PO100407
2024-09,LAX01,AMER-West,OPS-FAC,Vendor Services,31003,34169,3166,10.21,FacilityPro,PO100408
2024-09,MIA01,AMER-Central,OPS-FAC,Maintenance Opex,58207,56012,-2195,-3.77,DataVolt,PO100409
2024-09,MIA01,AMER-Central,FIN-CAPEX,Power Opex,84791,90753,5962,7.03,CBRE Ops,PO100410
2024-09,MIA01,AMER-Central,OPS-DC,Capex Replacement,78036,72849,-5187,-6.65,EcoCool,PO100411
2024-09,MIA01,AMER-Central,FIN-CAPEX,Vendor Services,16971,18765,1794,10.57,PowerGrid Mechanical,PO100412
2024-09,NYC01,AMER-East,ENG-SVC,Maintenance Opex,152758,174433,21675,14.19,FacilityPro,PO100413
2024-09,NYC01,AMER-East,FIN-CAPEX,Power Opex,186164,211347,25183,13.53,ABB Services,PO100414
2024-09,NYC01,AMER-East,OPS-FAC,Capex Replacement,241530,244802,3272,1.35,EcoCool,PO100415
2024-09,NYC01,AMER-East,FIN-CAPEX,Vendor Services,57171,60927,3756,6.57,PowerGrid Mechanical,PO100416
2024-09,PHX01,AMER-West,OPS-FAC,Maintenance Opex,91126,84727,-6399,-7.02,Vertiv Services,PO100417
2024-09,PHX01,AMER-West,OPS-FAC,Power Opex,146562,142354,-4208,-2.87,Schneider Services,PO100418
2024-09,PHX01,AMER-West,OPS-DC,Capex Replacement,59057,57863,-1194,-2.02,DataVolt,PO100419
2024-09,PHX01,AMER-West,OPS-FAC,Vendor Services,15353,14332,-1021,-6.65,DataVolt,PO100420
2024-09,SEA01,AMER-West,OPS-DC,Maintenance Opex,90999,100466,9467,10.4,Schneider Services,PO100421
2024-09,SEA01,AMER-West,OPS-FAC,Power Opex,101103,116497,15394,15.23,DataVolt,PO100422
2024-09,SEA01,AMER-West,FIN-CAPEX,Capex Replacement,82889,89727,6838,8.25,EcoCool,PO100423
2024-09,SEA01,AMER-West,OPS-DC,Vendor Services,30888,32162,1274,4.12,ABB Services,PO100424
2024-09,SJC01,AMER-West,OPS-FAC,Maintenance Opex,279632,297183,17551,6.28,Schneider Services,PO100425
2024-09,SJC01,AMER-West,OPS-DC,Power Opex,407509,453958,46449,11.4,Vertiv Services,PO100426
2024-09,SJC01,AMER-West,FIN-CAPEX,Capex Replacement,424869,467112,42243,9.94,DataVolt,PO100427
2024-09,SJC01,AMER-West,OPS-DC,Vendor Services,59498,54759,-4739,-7.96,FacilityPro,PO100428
2024-09,TOR01,AMER-Central,OPS-DC,Maintenance Opex,153896,142780,-11116,-7.22,Vertiv Services,PO100429
2024-09,TOR01,AMER-Central,OPS-DC,Power Opex,141360,153993,12633,8.94,FacilityPro,PO100430
2024-09,TOR01,AMER-Central,OPS-FAC,Capex Replacement,154111,169202,15091,9.79,PowerGrid Mechanical,PO100431
2024-09,TOR01,AMER-Central,ENG-SVC,Vendor Services,40641,39008,-1633,-4.02,DataVolt,PO100432
2024-10,ASH01,AMER-East,OPS-FAC,Maintenance Opex,275382,268953,-6429,-2.33,Vertiv Services,PO100433
2024-10,ASH01,AMER-East,OPS-DC,Power Opex,364317,393733,29416,8.07,PowerGrid Mechanical,PO100434
2024-10,ASH01,AMER-East,OPS-DC,Capex Replacement,344047,342306,-1741,-0.51,DataVolt,PO100435
2024-10,ASH01,AMER-East,ENG-SVC,Vendor Services,77769,72524,-5245,-6.74,DataVolt,PO100436
2024-10,ATL01,AMER-East,FIN-CAPEX,Maintenance Opex,94086,100382,6296,6.69,CBRE Ops,PO100437
2024-10,ATL01,AMER-East,OPS-FAC,Power Opex,107640,115175,7535,7.0,DataVolt,PO100438
2024-10,ATL01,AMER-East,OPS-DC,Capex Replacement,105264,117568,12304,11.69,DataVolt,PO100439
2024-10,ATL01,AMER-East,OPS-DC,Vendor Services,17174,16495,-679,-3.95,ABB Services,PO100440
2024-10,CHI01,AMER-East,OPS-DC,Maintenance Opex,125530,145191,19661,15.66,PowerGrid Mechanical,PO100441
2024-10,CHI01,AMER-East,OPS-DC,Power Opex,239385,257931,18546,7.75,DataVolt,PO100442
2024-10,CHI01,AMER-East,OPS-DC,Capex Replacement,181327,176565,-4762,-2.63,Schneider Services,PO100443
2024-10,CHI01,AMER-East,OPS-DC,Vendor Services,33139,35051,1912,5.77,Vertiv Services,PO100444
2024-10,DAL01,AMER-Central,ENG-SVC,Maintenance Opex,395059,386547,-8512,-2.15,DataVolt,PO100445
2024-10,DAL01,AMER-Central,FIN-CAPEX,Power Opex,391844,421086,29242,7.46,DataVolt,PO100446
2024-10,DAL01,AMER-Central,OPS-DC,Capex Replacement,382027,401862,19835,5.19,ABB Services,PO100447
2024-10,DAL01,AMER-Central,OPS-DC,Vendor Services,98213,111181,12968,13.2,FacilityPro,PO100448
2024-10,DEN01,AMER-Central,ENG-SVC,Maintenance Opex,51270,54738,3468,6.76,DataVolt,PO100449
2024-10,DEN01,AMER-Central,OPS-FAC,Power Opex,78345,82514,4169,5.32,EcoCool,PO100450
2024-10,DEN01,AMER-Central,OPS-DC,Capex Replacement,39612,43701,4089,10.32,Schneider Services,PO100451
2024-10,DEN01,AMER-Central,OPS-FAC,Vendor Services,9077,9864,787,8.67,CBRE Ops,PO100452
2024-10,LAX01,AMER-West,FIN-CAPEX,Maintenance Opex,147539,139223,-8316,-5.64,FacilityPro,PO100453
2024-10,LAX01,AMER-West,FIN-CAPEX,Power Opex,193333,216909,23576,12.19,FacilityPro,PO100454
2024-10,LAX01,AMER-West,OPS-DC,Capex Replacement,110956,111402,446,0.4,Schneider Services,PO100455
2024-10,LAX01,AMER-West,ENG-SVC,Vendor Services,38780,42210,3430,8.84,PowerGrid Mechanical,PO100456
2024-10,MIA01,AMER-Central,OPS-DC,Maintenance Opex,51209,49552,-1657,-3.24,Schneider Services,PO100457
2024-10,MIA01,AMER-Central,OPS-DC,Power Opex,97812,99721,1909,1.95,ABB Services,PO100458
2024-10,MIA01,AMER-Central,ENG-SVC,Capex Replacement,51073,53971,2898,5.67,Vertiv Services,PO100459
2024-10,MIA01,AMER-Central,OPS-FAC,Vendor Services,12489,13940,1451,11.62,DataVolt,PO100460
2024-10,NYC01,AMER-East,ENG-SVC,Maintenance Opex,107325,115309,7984,7.44,PowerGrid Mechanical,PO100461
2024-10,NYC01,AMER-East,OPS-FAC,Power Opex,264210,247662,-16548,-6.26,FacilityPro,PO100462
2024-10,NYC01,AMER-East,OPS-DC,Capex Replacement,130085,138883,8798,6.76,ABB Services,PO100463
2024-10,NYC01,AMER-East,OPS-DC,Vendor Services,17873,17444,-429,-2.4,DataVolt,PO100464
2024-10,PHX01,AMER-West,OPS-FAC,Maintenance Opex,72792,67535,-5257,-7.22,DataVolt,PO100465
2024-10,PHX01,AMER-West,OPS-DC,Power Opex,95209,108860,13651,14.34,Vertiv Services,PO100466
2024-10,PHX01,AMER-West,FIN-CAPEX,Capex Replacement,53817,52648,-1169,-2.17,ABB Services,PO100467
2024-10,PHX01,AMER-West,OPS-DC,Vendor Services,15813,15685,-128,-0.81,Vertiv Services,PO100468
2024-10,SEA01,AMER-West,OPS-DC,Maintenance Opex,121426,114711,-6715,-5.53,CBRE Ops,PO100469
2024-10,SEA01,AMER-West,OPS-DC,Power Opex,96985,100938,3953,4.08,EcoCool,PO100470
2024-10,SEA01,AMER-West,OPS-DC,Capex Replacement,89871,94082,4211,4.69,ABB Services,PO100471
2024-10,SEA01,AMER-West,OPS-DC,Vendor Services,42140,40132,-2008,-4.77,FacilityPro,PO100472
2024-10,SJC01,AMER-West,OPS-FAC,Maintenance Opex,288839,299266,10427,3.61,DataVolt,PO100473
2024-10,SJC01,AMER-West,FIN-CAPEX,Power Opex,472516,444913,-27603,-5.84,FacilityPro,PO100474
2024-10,SJC01,AMER-West,OPS-FAC,Capex Replacement,319127,320057,930,0.29,Vertiv Services,PO100475
2024-10,SJC01,AMER-West,OPS-FAC,Vendor Services,83894,91600,7706,9.19,CBRE Ops,PO100476
2024-10,TOR01,AMER-Central,OPS-DC,Maintenance Opex,205010,212257,7247,3.53,ABB Services,PO100477
2024-10,TOR01,AMER-Central,OPS-FAC,Power Opex,149604,163318,13714,9.17,PowerGrid Mechanical,PO100478
2024-10,TOR01,AMER-Central,ENG-SVC,Capex Replacement,202104,206843,4739,2.34,CBRE Ops,PO100479
2024-10,TOR01,AMER-Central,OPS-DC,Vendor Services,50948,52985,2037,4.0,Vertiv Services,PO100480
