asset_id,site_code,region,asset_type,manufacturer,model_number,serial_number,install_date,commission_date,expected_life_years,current_age_years,asset_condition,condition_score,criticality_level,capacity_rating,capacity_unit,replacement_cost_usd,depreciated_value_usd,asset_status,energy_efficiency_rating,last_maintenance_date
AST00144,SJC01,AMER-West,PDU,ABB,ABB-PDU-395,SN562120144,2019-09-04,2019-09-30,14,5.8,Good,80.5,Medium,928,Amps,58718,38446,Active,B,2025-03-21
AST00145,TOR01,AMER-Central,UPS,Eaton,EAT-UPS-760,SN767054145,2014-11-28,2014-12-11,12,10.6,Warning,69.2,High,1410,kVA,147545,38935,Active,C,2025-06-15
AST00146,SJC01,AMER-West,Chiller,York,YOR-CHI-412,SN984377146,2019-08-09,2019-09-23,11,5.9,Warning,74.2,High,724,Tons,300760,166329,Active,B,2025-05-26
AST00147,ATL01,AMER-East,PDU,Schneider,SCH-PDU-309,SN632954147,2014-06-14,2014-07-22,14,11.0,Warning,55.2,Low,496,Amps,81368,28091,Active,B,2025-06-27
AST00148,DEN01,AMER-Central,Cooling,Stulz,STU-COO-975,SN752026148,2023-10-14,2023-12-08,10,1.7,Good,95.0,Medium,261,Tons,132526,113751,Active,C,2025-03-04
AST00149,SJC01,AMER-West,UPS,Eaton,EAT-UPS-765,SN765755149,2023-02-27,2023-04-22,12,2.3,Good,84.4,High,1322,kVA,336726,282943,Standby,A,2025-03-07
AST00150,TOR01,AMER-Central,UPS,Vertiv,VER-UPS-183,SN119816150,2023-07-16,2023-09-07,12,2.0,Good,97.2,High,397,kVA,245989,211823,Active,A,2025-06-12
AST00151,NYC01,AMER-East,Cooling,Carrier,CAR-COO-835,SN881452151,2014-09-21,2014-10-25,10,10.8,Critical,36.6,Medium,294,Tons,198554,29783,Active,A,2025-05-18
AST00152,SJC01,AMER-West,Generator,Kohler,KOH-GEN-822,SN193501152,2012-08-09,2012-09-14,15,12.9,Critical,46.3,Low,3332,kW,453532,128500,Active,A,2025-06-28
AST00153,DEN01,AMER-Central,Cooling,Stulz,STU-COO-868,SN688365153,2010-10-13,2010-12-07,10,14.7,Critical,25.0,Low,254,Tons,202717,30407,Active,A,2025-06-17
AST00154,SJC01,AMER-West,PDU,Eaton,EAT-PDU-321,SN400709154,2015-12-02,2016-01-26,14,9.6,Warning,70.5,High,980,Amps,110155,47209,Active,B,2025-05-17
AST00155,ATL01,AMER-East,PDU,ABB,ABB-PDU-977,SN283675155,2019-02-18,2019-03-27,14,6.4,Warning,65.0,High,236,Amps,126974,78602,Active,C,2025-06-02
AST00156,SJC01,AMER-West,UPS,Eaton,EAT-UPS-277,SN316454156,2014-12-29,2015-01-31,12,10.5,Critical,46.4,Low,1281,kVA,297606,80601,Active,C,2025-06-04
AST00157,ASH01,AMER-East,Generator,Kohler,KOH-GEN-860,SN578446157,2016-10-26,2016-12-06,15,8.7,Good,86.1,Medium,2287,kW,607073,313654,Active,A,2025-05-28
AST00158,DAL01,AMER-Central,Cooling,Trane,TRA-COO-187,SN525037158,2015-11-14,2015-12-20,10,9.6,Critical,48.2,Medium,199,Tons,178453,35690,Active,A,2025-06-20
AST00159,SJC01,AMER-West,PDU,Eaton,EAT-PDU-922,SN510543159,2016-12-13,2017-01-04,14,8.5,Warning,64.7,High,156,Amps,49425,24418,Active,B,2025-06-13
AST00160,ATL01,AMER-East,Cooling,Trane,TRA-COO-772,SN626486160,2012-02-14,2012-03-10,10,13.4,Critical,25.0,Medium,226,Tons,209931,31489,Active,A,2025-05-14
AST00161,CHI01,AMER-East,Generator,Cummins,CUM-GEN-914,SN123236161,2013-08-01,2013-08-25,15,11.9,Warning,62.8,Medium,1745,kW,510785,173099,Active,C,2025-06-06
AST00162,ASH01,AMER-East,Cooling,Carrier,CAR-COO-570,SN307990162,2023-02-24,2023-03-12,10,2.3,Good,86.1,Medium,99,Tons,79596,64340,Active,B,2025-06-06
AST00163,MIA01,AMER-Central,PDU,Eaton,EAT-PDU-325,SN238155163,2012-03-15,2012-04-23,14,13.3,Warning,56.5,High,1003,Amps,62771,13077,Standby,C,2025-06-14
AST00164,NYC01,AMER-East,Chiller,Daikin,DAI-CHI-813,SN541501164,2022-11-02,2022-12-22,11,2.7,Warning,71.3,High,876,Tons,337215,268239,Active,A,2025-06-09
AST00165,TOR01,AMER-Central,Chiller,York,YOR-CHI-625,SN659655165,2023-03-25,2023-03-31,11,2.3,Good,86.0,High,386,Tons,143752,118704,Active,C,2025-06-17
AST00166,NYC01,AMER-East,PDU,Eaton,EAT-PDU-334,SN413837166,2013-07-25,2013-08-02,14,11.9,Critical,52.9,Low,815,Amps,121908,35556,Active,B,2025-06-06
AST00167,ASH01,AMER-East,Chiller,Daikin,DAI-CHI-116,SN328504167,2017-04-11,2017-05-23,11,8.2,Critical,47.6,Low,527,Tons,121622,46068,Standby,B,2025-06-08
AST00168,DAL01,AMER-Central,Chiller,York,YOR-CHI-126,SN599512168,2010-12-08,2011-01-12,11,14.6,Critical,30.9,Medium,795,Tons,149402,22410,Active,A,2025-06-14
AST00169,SEA01,AMER-West,PDU,ABB,ABB-PDU-920,SN436326169,2021-09-03,2021-09-17,14,3.8,Good,90.1,Medium,1071,Amps,146332,113233,Active,A,2025-06-01
AST00170,SEA01,AMER-West,Chiller,Daikin,DAI-CHI-733,SN791757170,2023-02-19,2023-02-25,11,2.4,Good,78.7,High,512,Tons,312192,255429,Active,A,2025-01-26
AST00171,LAX01,AMER-West,PDU,Eaton,EAT-PDU-128,SN681780171,2017-11-06,2017-11-21,14,7.6,Warning,71.2,Low,160,Amps,134599,73708,Active,B,2025-06-20
AST00172,CHI01,AMER-East,Generator,Kohler,KOH-GEN-286,SN111046172,2013-02-10,2013-03-26,15,12.4,Critical,53.0,Low,2250,kW,658165,204762,Active,C,2025-06-07
AST00173,MIA01,AMER-Central,PDU,Schneider,SCH-PDU-505,SN745188173,2021-06-25,2021-08-01,14,4.0,Good,87.9,Low,900,Amps,112298,85560,Standby,B,2025-01-10
AST00174,DAL01,AMER-Central,UPS,Schneider,SCH-UPS-606,SN800780174,2020-09-25,2020-11-11,12,4.8,Good,77.2,Medium,731,kVA,268376,178917,Active,A,2024-10-17
AST00175,DEN01,AMER-Central,PDU,Schneider,SCH-PDU-395,SN793264175,2010-06-03,2010-06-08,14,15.1,Critical,25.8,Low,210,Amps,119666,17949,Active,B,2025-06-03
AST00176,ASH01,AMER-East,UPS,Vertiv,VER-UPS-141,SN997048176,2014-06-28,2014-08-10,12,11.0,Critical,47.1,Medium,380,kVA,118145,27895,Active,B,2025-05-27
AST00177,LAX01,AMER-West,PDU,Schneider,SCH-PDU-916,SN528988177,2013-06-06,2013-06-27,14,12.1,Warning,59.4,High,479,Amps,81408,22774,Active,A,2025-05-25
AST00178,SEA01,AMER-West,Chiller,Trane,TRA-CHI-596,SN419278178,2020-08-30,2020-09-15,11,4.8,Warning,71.8,Low,467,Tons,295695,188169,Active,A,2025-06-11
AST00179,SEA01,AMER-West,Cooling,Stulz,STU-COO-180,SN494966179,2010-08-04,2010-09-14,10,14.9,Critical,25.0,High,277,Tons,142454,21368,Active,A,2025-06-14
AST00180,ASH01,AMER-East,Generator,Cummins,CUM-GEN-588,SN616142180,2019-12-22,2020-01-27,15,5.5,Good,88.8,High,1777,kW,833999,579165,Active,C,2025-04-22
AST00181,ASH01,AMER-East,Cooling,Stulz,STU-COO-434,SN764180181,2023-02-28,2023-03-11,10,2.3,Warning,73.7,Low,216,Tons,207194,167481,Active,C,2025-06-07
AST00182,SJC01,AMER-West,PDU,Eaton,EAT-PDU-926,SN850294182,2014-03-02,2014-04-04,14,11.3,Critical,53.7,Low,743,Amps,81062,26538,Active,B,2025-04-27
AST00183,SEA01,AMER-West,Chiller,Trane,TRA-CHI-589,SN166150183,2016-08-16,2016-09-06,11,8.9,Critical,52.2,High,675,Tons,241826,78776,Active,B,2025-06-14
AST00184,SJC01,AMER-West,UPS,Vertiv,VER-UPS-287,SN550348184,2017-04-21,2017-05-29,12,8.2,Warning,68.6,High,380,kVA,224055,96468,Active,C,2025-05-21
AST00185,MIA01,AMER-Central,Cooling,Trane,TRA-COO-987,SN893072185,2021-09-18,2021-09-26,10,3.8,Good,89.2,Medium,428,Tons,180608,123415,Active,A,2025-04-07
AST00186,TOR01,AMER-Central,PDU,Eaton,EAT-PDU-260,SN354444186,2017-08-01,2017-09-16,14,7.9,Warning,55.6,Medium,1043,Amps,119038,63061,Active,C,2025-05-21
AST00187,TOR01,AMER-Central,Generator,Cummins,CUM-GEN-515,SN955778187,2012-01-09,2012-02-21,15,13.5,Critical,51.1,High,1813,kW,820659,205164,Active,C,2025-06-20
AST00188,CHI01,AMER-East,PDU,ABB,ABB-PDU-576,SN698260188,2021-04-17,2021-06-04,14,4.2,Good,91.0,High,846,Amps,78039,58529,Active,A,2024-09-26
AST00189,ATL01,AMER-East,Generator,Kohler,KOH-GEN-458,SN350195189,2019-08-13,2019-08-22,15,5.9,Warning,73.6,High,3050,kW,389996,262163,Active,A,2025-05-03
AST00190,TOR01,AMER-Central,Cooling,Trane,TRA-COO-475,SN656701190,2013-03-11,2013-05-04,10,12.3,Critical,25.0,High,403,Tons,177573,26635,Active,A,2025-06-12
AST00191,ASH01,AMER-East,PDU,Eaton,EAT-PDU-916,SN222744191,2022-01-06,2022-02-03,14,3.5,Good,86.0,Medium,1113,Amps,142419,112748,Active,B,2025-06-22
AST00192,ASH01,AMER-East,PDU,ABB,ABB-PDU-904,SN931460192,2016-02-13,2016-03-31,14,9.4,Warning,64.7,High,859,Amps,45806,20176,Active,B,2025-06-20
AST00193,DAL01,AMER-Central,Cooling,Trane,TRA-COO-161,SN658924193,2014-01-03,2014-02-10,10,11.5,Critical,38.5,Medium,232,Tons,89262,13389,Active,C,2025-06-28
AST00194,ASH01,AMER-East,PDU,ABB,ABB-PDU-670,SN550195194,2023-04-30,2023-06-02,14,2.2,Good,97.9,Medium,1034,Amps,109754,95381,Active,A,2025-01-11
AST00195,ASH01,AMER-East,Cooling,Carrier,CAR-COO-605,SN286626195,2019-10-05,2019-10-15,10,5.7,Warning,65.7,Medium,84,Tons,138781,72860,Active,B,2025-05-13
AST00196,ASH01,AMER-East,Generator,Kohler,KOH-GEN-788,SN933032196,2011-12-28,2012-02-05,15,13.5,Critical,49.8,High,2043,kW,429369,107342,Active,C,2025-06-20
AST00197,SEA01,AMER-West,Cooling,Carrier,CAR-COO-949,SN474999197,2014-05-16,2014-05-23,10,11.1,Critical,39.7,Medium,239,Tons,72906,10935,Active,B,2025-06-21
AST00198,SJC01,AMER-West,Cooling,Trane,TRA-COO-880,SN893719198,2021-02-21,2021-04-13,10,4.4,Warning,63.8,Medium,168,Tons,167979,106386,Active,C,2025-06-22
AST00199,DAL01,AMER-Central,UPS,Vertiv,VER-UPS-422,SN143642199,2015-04-18,2015-05-20,12,10.2,Critical,52.3,Low,1468,kVA,178801,52150,Active,B,2025-06-19
AST00200,SJC01,AMER-West,PDU,Schneider,SCH-PDU-269,SN915624200,2013-09-17,2013-10-06,14,11.8,Warning,61.5,Medium,189,Amps,87520,26047,Active,B,2025-06-25
AST00201,TOR01,AMER-Central,PDU,Schneider,SCH-PDU-137,SN777114201,2013-11-19,2013-11-28,14,11.6,Critical,53.2,High,1063,Amps,139661,43228,Active,A,2025-06-11
AST00202,SJC01,AMER-West,PDU,Schneider,SCH-PDU-415,SN503119202,2010-02-06,2010-02-23,14,15.4,Critical,33.9,Medium,945,Amps,130956,19643,Active,C,2025-06-26
AST00203,TOR01,AMER-Central,Cooling,Stulz,STU-COO-323,SN626684203,2023-11-17,2024-01-11,10,1.6,Good,91.1,High,265,Tons,193322,167545,Active,B,2025-04-15
AST00204,DEN01,AMER-Central,PDU,Schneider,SCH-PDU-139,SN261633204,2014-05-11,2014-06-24,14,11.1,Warning,64.7,Medium,365,Amps,52314,17749,Active,C,2025-04-27
AST00205,SJC01,AMER-West,Generator,Cummins,CUM-GEN-670,SN576840205,2016-07-11,2016-07-28,15,9.0,Warning,73.5,High,1362,kW,800547,400273,Active,C,2025-05-20
AST00206,ATL01,AMER-East,PDU,ABB,ABB-PDU-766,SN233541206,2021-09-26,2021-10-07,14,3.8,Good,88.0,High,282,Amps,93874,72640,Active,C,2025-05-01
AST00207,TOR01,AMER-Central,PDU,ABB,ABB-PDU-462,SN570452207,2011-07-11,2011-08-14,14,14.0,Critical,43.8,Medium,231,Amps,63787,10631,Active,C,2025-06-20
AST00208,MIA01,AMER-Central,PDU,Schneider,SCH-PDU-817,SN289004208,2019-02-12,2019-03-17,14,6.4,Good,75.9,High,444,Amps,120713,74727,Active,B,2025-04-14
AST00209,MIA01,AMER-Central,UPS,Schneider,SCH-UPS-459,SN263038209,2018-07-15,2018-08-22,12,7.0,Warning,72.5,Low,949,kVA,258383,132780,Active,B,2025-06-15
AST00210,ASH01,AMER-East,PDU,Eaton,EAT-PDU-425,SN700530210,2023-01-23,2023-02-26,14,2.4,Good,77.3,High,735,Amps,132272,113376,Active,B,2025-06-28
AST00211,SJC01,AMER-West,UPS,Vertiv,VER-UPS-434,SN715645211,2013-06-01,2013-07-12,12,12.1,Critical,42.1,High,1238,kVA,293667,46905,Active,C,2025-06-18
AST00212,SEA01,AMER-West,Chiller,York,YOR-CHI-583,SN238563212,2015-03-03,2015-04-03,11,10.3,Warning,56.3,High,341,Tons,301264,66186,Active,A,2025-04-13
AST00213,NYC01,AMER-East,PDU,Schneider,SCH-PDU-121,SN383097213,2012-07-06,2012-07-28,14,13.0,Critical,47.3,Medium,455,Amps,68821,15566,Active,A,2025-05-26
AST00214,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-786,SN649148214,2023-02-21,2023-03-09,15,2.4,Good,98.0,High,1762,kW,569227,493330,Active,C,2025-05-24
AST00215,SJC01,AMER-West,PDU,Eaton,EAT-PDU-669,SN327286215,2010-01-29,2010-02-28,14,15.4,Critical,50.5,High,887,Amps,146660,21999,Retired,A,
AST00216,ASH01,AMER-East,UPS,Schneider,SCH-UPS-198,SN984200216,2011-05-31,2011-07-13,12,14.1,Critical,34.9,Medium,1136,kVA,238554,35783,Active,B,2025-05-28
AST00217,ATL01,AMER-East,Generator,Kohler,KOH-GEN-121,SN384186217,2014-12-29,2015-01-05,15,10.5,Warning,63.2,Medium,1988,kW,333268,138861,Active,C,2025-04-25
AST00218,DAL01,AMER-Central,Cooling,Stulz,STU-COO-183,SN673189218,2023-08-05,2023-08-28,10,1.9,Good,85.6,Medium,336,Tons,77857,65529,Active,A,2025-05-13
AST00219,SJC01,AMER-West,Cooling,Trane,TRA-COO-262,SN650719219,2020-11-07,2020-12-30,10,4.6,Good,81.3,Low,360,Tons,147711,91088,Active,C,2025-06-23
AST00220,SJC01,AMER-West,Cooling,Carrier,CAR-COO-370,SN516235220,2014-12-15,2015-01-04,10,10.5,Critical,48.3,High,106,Tons,86563,12984,Active,B,2025-06-20
AST00221,CHI01,AMER-East,Chiller,Trane,TRA-CHI-690,SN445114221,2012-09-11,2012-10-31,11,12.8,Critical,38.4,Low,711,Tons,281779,42266,Standby,A,2025-06-26
AST00222,SJC01,AMER-West,Generator,Cummins,CUM-GEN-792,SN931291222,2022-03-03,2022-03-10,15,3.3,Good,91.1,Medium,1526,kW,610904,498904,Active,B,2025-06-10
AST00223,DEN01,AMER-Central,PDU,Eaton,EAT-PDU-951,SN658819223,2016-03-03,2016-03-16,14,9.3,Warning,74.9,High,1166,Amps,50109,22370,Active,C,2025-03-14
AST00224,SEA01,AMER-West,Cooling,Trane,TRA-COO-485,SN941047224,2010-04-27,2010-05-09,10,15.2,Critical,26.9,Low,143,Tons,150708,22606,Active,A,2025-06-25
AST00225,CHI01,AMER-East,Generator,Caterpillar,CAT-GEN-706,SN993093225,2017-07-31,2017-09-05,15,7.9,Warning,67.9,High,3058,kW,344288,193183,Active,A,2024-12-23
AST00226,CHI01,AMER-East,PDU,Schneider,SCH-PDU-201,SN545864226,2015-08-06,2015-08-18,14,9.9,Critical,44.1,Medium,928,Amps,77981,32027,Active,C,2025-05-21
AST00227,SJC01,AMER-West,Chiller,Daikin,DAI-CHI-988,SN545485227,2020-04-20,2020-05-26,11,5.2,Critical,72.2,Medium,612,Tons,362997,219998,Retired,B,
AST00228,DEN01,AMER-Central,Cooling,Trane,TRA-COO-813,SN830023228,2017-06-13,2017-07-19,10,8.0,Critical,53.2,Medium,321,Tons,187720,62573,Active,B,2025-06-03
AST00229,DAL01,AMER-Central,Cooling,Carrier,CAR-COO-688,SN999187229,2010-01-02,2010-02-01,10,15.5,Critical,25.0,Medium,182,Tons,173737,26060,Active,B,2025-06-21
AST00230,ASH01,AMER-East,UPS,Vertiv,VER-UPS-785,SN438041230,2010-03-31,2010-05-24,12,15.2,Critical,31.0,High,392,kVA,286713,43006,Active,A,2025-05-10
AST00231,SEA01,AMER-West,Cooling,Carrier,CAR-COO-416,SN859746231,2012-06-05,2012-06-15,10,13.1,Critical,30.4,Medium,88,Tons,182832,27424,Standby,A,2025-06-23
AST00232,SJC01,AMER-West,PDU,ABB,ABB-PDU-515,SN133320232,2016-03-20,2016-05-13,14,9.3,Warning,64.4,High,865,Amps,147215,65720,Active,C,2025-05-21
AST00233,ASH01,AMER-East,Generator,Caterpillar,CAT-GEN-210,SN649114233,2014-09-10,2014-09-21,15,10.8,Warning,69.3,Medium,1458,kW,457235,182893,Active,A,2025-04-23
AST00234,SJC01,AMER-West,Generator,Caterpillar,CAT-GEN-489,SN783321234,2010-07-27,2010-08-22,15,14.9,Critical,49.3,Medium,1409,kW,378818,65240,Retired,C,
AST00235,LAX01,AMER-West,Generator,Cummins,CUM-GEN-111,SN241398235,2023-06-06,2023-06-22,15,2.1,Good,90.7,Low,2560,kW,363186,320814,Active,B,2025-03-25
AST00236,PHX01,AMER-West,Generator,Kohler,KOH-GEN-246,SN251094236,2015-12-10,2016-01-29,15,9.6,Warning,56.3,Medium,1684,kW,308380,143910,Active,A,2025-06-12
AST00237,LAX01,AMER-West,UPS,Vertiv,VER-UPS-911,SN906481237,2020-02-20,2020-03-01,12,5.4,Warning,71.3,Medium,1163,kVA,352805,220503,Active,C,2025-05-18
AST00238,DEN01,AMER-Central,UPS,Eaton,EAT-UPS-451,SN889352238,2022-09-19,2022-09-26,12,2.8,Good,86.6,Medium,1173,kVA,315314,254002,Standby,B,2025-04-18
AST00239,TOR01,AMER-Central,PDU,Schneider,SCH-PDU-961,SN474484239,2022-06-07,2022-07-12,14,3.1,Good,86.0,High,1106,Amps,145375,118549,Active,A,2025-05-01
AST00240,NYC01,AMER-East,UPS,Vertiv,VER-UPS-904,SN912395240,2011-02-08,2011-03-04,12,14.4,Critical,25.0,Medium,1205,kVA,356847,53527,Active,C,2025-06-27
AST00241,ASH01,AMER-East,PDU,ABB,ABB-PDU-677,SN389102241,2013-06-27,2013-08-04,14,12.0,Critical,52.1,High,1081,Amps,90350,25814,Active,A,2025-06-25
AST00242,TOR01,AMER-Central,UPS,Vertiv,VER-UPS-854,SN379922242,2020-12-23,2021-02-19,12,4.5,Critical,91.8,High,886,kVA,339474,233388,Retired,A,
AST00243,ASH01,AMER-East,PDU,Eaton,EAT-PDU-966,SN620985243,2011-06-14,2011-06-26,14,14.0,Critical,54.6,Medium,249,Amps,68279,11379,Active,C,2025-06-14
AST00244,ASH01,AMER-East,UPS,Eaton,EAT-UPS-698,SN297133244,2022-07-10,2022-07-28,12,3.0,Good,91.7,High,251,kVA,154324,122173,Active,A,2025-06-01
AST00245,CHI01,AMER-East,PDU,ABB,ABB-PDU-927,SN722605245,2020-12-19,2021-01-31,14,4.5,Warning,70.8,Medium,279,Amps,114350,83720,Active,B,2025-05-16
AST00246,ASH01,AMER-East,UPS,Eaton,EAT-UPS-244,SN685560246,2023-07-05,2023-08-06,12,2.0,Good,90.5,High,315,kVA,234832,202216,Active,B,2025-05-19
AST00247,DAL01,AMER-Central,PDU,Eaton,EAT-PDU-806,SN657685247,2022-06-22,2022-07-10,14,3.0,Good,77.3,Medium,741,Amps,116260,95499,Active,B,2025-03-02
AST00248,MIA01,AMER-Central,UPS,Eaton,EAT-UPS-961,SN119816248,2017-12-01,2017-12-06,12,7.6,Critical,63.3,Low,382,kVA,335011,158199,Retired,B,
AST00249,DAL01,AMER-Central,PDU,ABB,ABB-PDU-220,SN398090249,2016-06-18,2016-07-29,14,9.0,Warning,62.2,Medium,836,Amps,116652,54159,Standby,A,2025-05-21
AST00250,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-404,SN857232250,2016-01-22,2016-03-10,15,9.4,Warning,63.1,High,2847,kW,921179,440118,Active,B,2025-04-16
AST00251,LAX01,AMER-West,Generator,Kohler,KOH-GEN-981,SN618477251,2013-10-22,2013-10-28,15,11.7,Warning,55.0,Low,1968,kW,633299,221654,Active,A,2025-06-23
AST00252,NYC01,AMER-East,Chiller,York,YOR-CHI-896,SN574112252,2010-10-09,2010-12-07,11,14.7,Critical,29.2,Low,184,Tons,337285,50592,Active,A,2025-06-14
AST00253,DAL01,AMER-Central,Chiller,York,YOR-CHI-790,SN396141253,2016-12-07,2016-12-23,11,8.6,Warning,55.7,Medium,639,Tons,292307,101864,Active,B,2025-05-27
AST00254,CHI01,AMER-East,Chiller,Trane,TRA-CHI-341,SN232311254,2017-07-03,2017-08-19,11,8.0,Warning,63.1,High,275,Tons,246945,97281,Active,A,2025-06-23
AST00255,DEN01,AMER-Central,Cooling,Trane,TRA-COO-322,SN418647255,2021-10-22,2021-12-12,10,3.7,Good,86.1,High,257,Tons,74110,51259,Active,B,2025-01-07
AST00256,PHX01,AMER-West,Generator,Kohler,KOH-GEN-250,SN909343256,2020-09-28,2020-11-16,15,4.8,Good,84.8,Medium,1307,kW,670479,491684,Active,A,2025-02-03
AST00257,ASH01,AMER-East,UPS,Schneider,SCH-UPS-440,SN747296257,2015-05-24,2015-07-22,12,10.1,Warning,58.0,Medium,918,kVA,195823,58474,Active,C,2025-06-21
AST00258,SJC01,AMER-West,PDU,Eaton,EAT-PDU-594,SN734965258,2022-08-18,2022-10-08,14,2.9,Good,81.2,High,460,Amps,148542,122900,Active,B,2025-03-28
AST00259,SEA01,AMER-West,Cooling,Trane,TRA-COO-244,SN386233259,2016-10-10,2016-10-22,10,8.7,Critical,51.9,High,382,Tons,175448,48248,Standby,C,2025-06-23
AST00260,LAX01,AMER-West,Cooling,Stulz,STU-COO-939,SN530424260,2022-10-28,2022-12-17,10,2.7,Good,98.0,High,368,Tons,166376,128941,Active,B,2024-12-18
AST00261,ASH01,AMER-East,UPS,Eaton,EAT-UPS-319,SN562785261,2018-07-22,2018-09-14,12,6.9,Warning,74.2,Medium,953,kVA,95704,49845,Active,A,2025-03-28
AST00262,LAX01,AMER-West,UPS,Eaton,EAT-UPS-780,SN842488262,2018-11-07,2018-12-29,12,6.6,Good,82.5,Medium,1030,kVA,248280,134485,Active,C,2024-12-22
AST00263,LAX01,AMER-West,UPS,Vertiv,VER-UPS-423,SN619777263,2020-06-25,2020-08-06,12,5.0,Good,88.4,High,743,kVA,157203,102618,Active,B,2025-06-21
AST00264,NYC01,AMER-East,Generator,Caterpillar,CAT-GEN-118,SN136321264,2014-06-26,2014-07-18,15,11.0,Warning,62.8,High,3444,kW,525014,204172,Active,A,2025-04-24
AST00265,DAL01,AMER-Central,PDU,Schneider,SCH-PDU-921,SN739430265,2012-04-30,2012-05-29,14,13.2,Critical,45.9,High,874,Amps,48726,10441,Active,B,2025-05-08
AST00266,DAL01,AMER-Central,Generator,Kohler,KOH-GEN-810,SN986926266,2018-08-14,2018-09-08,15,6.9,Good,81.3,Medium,2496,kW,494432,304899,Active,A,2025-06-15
AST00267,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-201,SN949881267,2022-01-18,2022-02-02,15,3.4,Warning,72.5,High,1961,kW,774509,628212,Active,A,2025-06-24
AST00268,MIA01,AMER-Central,UPS,Vertiv,VER-UPS-102,SN646900268,2020-07-15,2020-08-14,12,5.0,Critical,89.5,Medium,577,kVA,256703,167570,Retired,C,
AST00269,SJC01,AMER-West,Generator,Kohler,KOH-GEN-839,SN435914269,2016-11-06,2016-12-28,15,8.6,Warning,57.1,High,3390,kW,492781,257341,Active,A,2025-05-18
AST00270,DEN01,AMER-Central,UPS,Schneider,SCH-UPS-463,SN965146270,2016-12-20,2017-02-05,12,8.5,Warning,62.2,Medium,1254,kVA,114596,46952,Active,B,2025-05-28
AST00271,DAL01,AMER-Central,Chiller,Trane,TRA-CHI-216,SN449307271,2011-02-11,2011-03-02,11,14.4,Critical,34.4,High,864,Tons,419058,62858,Active,B,2025-06-27
AST00272,ATL01,AMER-East,PDU,Schneider,SCH-PDU-423,SN571828272,2020-07-21,2020-08-07,14,4.9,Good,79.6,Medium,619,Amps,82650,58543,Active,A,2025-06-10
AST00273,SJC01,AMER-West,Chiller,York,YOR-CHI-638,SN798012273,2012-08-21,2012-10-11,11,12.9,Critical,29.4,Medium,305,Tons,241999,36299,Active,A,2025-05-03
AST00274,ATL01,AMER-East,UPS,Vertiv,VER-UPS-519,SN557373274,2010-04-16,2010-05-08,12,15.2,Critical,25.0,Medium,251,kVA,266048,39907,Active,B,2025-06-13
AST00275,ATL01,AMER-East,Generator,Cummins,CUM-GEN-558,SN854950275,2017-03-21,2017-04-25,15,8.3,Warning,62.7,Medium,2062,kW,352588,190005,Active,A,2025-05-04
AST00276,ASH01,AMER-East,Cooling,Carrier,CAR-COO-411,SN934800276,2020-01-03,2020-02-18,10,5.5,Warning,68.2,Medium,377,Tons,184735,100064,Active,A,2025-06-26
AST00277,TOR01,AMER-Central,Generator,Kohler,KOH-GEN-921,SN863264277,2010-02-05,2010-03-25,15,15.4,Critical,37.8,Medium,2399,kW,846956,127043,Active,A,2025-05-27
AST00278,ASH01,AMER-East,PDU,Schneider,SCH-PDU-240,SN311830278,2018-01-17,2018-02-12,14,7.4,Warning,69.9,High,875,Amps,54435,30457,Standby,A,2025-05-24
AST00279,SEA01,AMER-West,PDU,Schneider,SCH-PDU-477,SN859416279,2020-11-20,2021-01-05,14,4.6,Good,86.0,High,733,Amps,116831,84841,Active,C,2025-05-19
AST00280,ASH01,AMER-East,UPS,Vertiv,VER-UPS-148,SN332601280,2023-03-09,2023-04-09,12,2.3,Good,97.6,Medium,299,kVA,195111,163947,Active,A,2025-05-07
AST00281,ASH01,AMER-East,UPS,Eaton,EAT-UPS-245,SN334386281,2020-02-01,2020-03-12,12,5.4,Good,88.0,Medium,1242,kVA,350337,218960,Active,B,2025-05-19
AST00282,DAL01,AMER-Central,PDU,Eaton,EAT-PDU-786,SN650448282,2022-10-21,2022-11-29,14,2.7,Good,83.6,Low,822,Amps,62014,52047,Active,B,2025-04-24
AST00283,CHI01,AMER-East,Generator,Caterpillar,CAT-GEN-554,SN385855283,2011-10-24,2011-11-08,15,13.7,Critical,50.1,Medium,1649,kW,485768,116044,Active,B,2025-06-02
AST00284,TOR01,AMER-Central,PDU,Schneider,SCH-PDU-176,SN551000284,2017-03-22,2017-04-20,14,8.3,Warning,66.4,Medium,919,Amps,62727,31736,Active,C,2025-06-07
AST00285,LAX01,AMER-West,Chiller,York,YOR-CHI-473,SN394054285,2021-12-07,2022-01-21,11,3.6,Good,76.4,Medium,608,Tons,313510,228007,Standby,A,2025-03-17
AST00286,DAL01,AMER-Central,Cooling,Trane,TRA-COO-799,SN544717286,2019-03-06,2019-03-29,10,6.3,Good,76.8,Low,147,Tons,98893,46974,Active,A,2025-06-02
AST00287,DAL01,AMER-Central,Generator,Kohler,KOH-GEN-135,SN997767287,2017-02-14,2017-03-27,15,8.4,Warning,70.4,Medium,1352,kW,484451,258373,Active,C,2025-05-09
