work_order_id,asset_id,site_code,region,work_order_date,maintenance_type,failure_category,failure_subcategory,priority_level,technician_id,vendor_name,labor_hours,downtime_hours,parts_cost_usd,labor_cost_usd,repair_cost_usd,response_time_hours,resolution_time_hours,status,sla_breach_flag,repeat_failure_flag,year_month
WO0001136,AST00083,SJC01,AMER-West,2024-03-05,Preventive,Cooling Loop,Coolant leak,P2,TECH0035,FacilityPro,4.0,2.43,844,552,1542,11.07,15.99,Completed,0,0,2024-03
WO0000128,AST00008,MIA01,AMER-Central,2024-03-05,Corrective,Capacitor,Capacitor aging,P4,TECH0115,Vertiv Services,8.0,8.01,4680,1096,5945,0.2,9.09,Completed,1,0,2024-03
WO0001574,AST00112,ASH01,AMER-East,2024-03-05,Preventive,Firmware,Sensor mapping,P3,TECH0106,FacilityPro,5.8,1.94,645,614,1337,8.91,16.09,Completed,0,0,2024-03
WO0002828,AST00198,SJC01,AMER-West,2024-03-05,Preventive,Valve,Valve leak,P4,TECH0057,CBRE Ops,3.9,1.92,965,468,1704,8.17,12.19,Completed,0,0,2024-03
WO0007554,AST00523,NYC01,AMER-East,2024-03-05,Corrective,Compressor,Start failure,P2,TECH0089,FacilityPro,16.5,11.91,6150,2689,8887,2.77,21.88,Completed,1,0,2024-03
WO0004860,AST00345,NYC01,AMER-East,2024-03-05,Preventive,Routine Wear,Seal wear,P4,TECH0106,DataVolt,8.9,1.9,913,1023,1993,9.54,21.11,Completed,0,0,2024-03
WO0002549,AST00180,ASH01,AMER-East,2024-03-05,Preventive,Cooling Loop,Heat exchanger,P3,TECH0032,CBRE Ops,4.9,2.5,758,617,1685,8.48,14.46,Completed,0,0,2024-03
WO0006374,AST00436,DAL01,AMER-Central,2024-03-05,Corrective,Routine Wear,Seal wear,P3,TECH0062,DataVolt,10.3,6.77,4266,1328,5649,1.43,13.01,Completed,1,0,2024-03
WO0000240,AST00015,ASH01,AMER-East,2024-03-05,Corrective,Routine Wear,Seal wear,P3,TECH0017,FacilityPro,8.9,2.73,4605,1219,6200,0.2,11.16,Completed,0,0,2024-03
WO0002575,AST00182,SJC01,AMER-West,2024-03-05,Corrective,Transformer,Tap changer,P3,TECH0025,DataVolt,14.1,6.84,3725,2072,6191,0.98,16.82,Completed,1,0,2024-03
WO0002006,AST00141,CHI01,AMER-East,2024-03-05,Preventive,Fan Motor,Bearing wear,P1,TECH0011,ABB Services,4.1,2.03,541,528,1218,9.65,15.22,Completed,0,0,2024-03
WO0001760,AST00124,TOR01,AMER-Central,2024-03-05,Preventive,Routine Wear,Seal wear,P2,TECH0020,EcoCool,6.3,2.63,303,604,1198,7.72,14.79,Completed,0,0,2024-03
WO0000682,AST00051,ASH01,AMER-East,2024-03-05,Corrective,Transformer,Tap changer,P3,TECH0074,Vertiv Services,10.5,4.68,2630,1039,3721,2.48,14.72,Completed,0,0,2024-03
WO0006496,AST00443,LAX01,AMER-West,2024-03-05,Preventive,Firmware,Sensor mapping,P2,TECH0086,PowerGrid Mechanical,6.9,1.94,677,683,1504,7.49,15.86,Completed,0,0,2024-03
WO0006457,AST00441,MIA01,AMER-Central,2024-03-05,Corrective,Fan Motor,VFD issue,P3,TECH0014,ABB Services,19.8,9.49,6092,2534,8775,1.87,22.85,Completed,1,1,2024-03
WO0007656,AST00533,DAL01,AMER-Central,2024-03-06,Preventive,Firmware,Communication timeout,P3,TECH0058,Schneider Services,8.7,0.92,794,1183,2296,8.56,18.46,Closed,0,0,2024-03
WO0001264,AST00092,DEN01,AMER-Central,2024-03-06,Corrective,Valve,Valve blockage,P4,TECH0105,Vertiv Services,16.0,6.84,3075,2560,5700,0.4,17.24,Completed,1,1,2024-03
WO0004543,AST00322,SJC01,AMER-West,2024-03-06,Corrective,Valve,Valve leak,P1,TECH0006,ABB Services,19.0,10.44,1545,1900,3520,1.12,21.87,Completed,1,0,2024-03
WO0006223,AST00426,PHX01,AMER-West,2024-03-06,Preventive,Rectifier,Voltage imbalance,P3,TECH0058,EcoCool,7.5,2.94,610,667,1318,9.18,18.88,In Review,0,0,2024-03
WO0003287,AST00230,ASH01,AMER-East,2024-03-06,Corrective,Firmware,Communication timeout,P3,TECH0002,Schneider Services,17.6,6.72,5593,2094,7816,2.11,20.51,Completed,1,0,2024-03
WO0007742,AST00540,DAL01,AMER-Central,2024-03-06,Corrective,Sensor,Flow sensor,P3,TECH0100,Vertiv Services,16.4,6.21,3911,1951,6165,1.18,19.28,Closed,1,1,2024-03
WO0000928,AST00067,ASH01,AMER-East,2024-03-06,Preventive,Valve,Valve blockage,P3,TECH0051,PowerGrid Mechanical,4.9,0.3,854,553,1665,9.27,15.6,Closed,0,0,2024-03
WO0007455,AST00516,NYC01,AMER-East,2024-03-06,Corrective,Compressor,Compressor vibration,P3,TECH0045,DataVolt,22.3,6.1,5043,2475,7645,2.3,25.45,Closed,1,0,2024-03
WO0002539,AST00179,SEA01,AMER-West,2024-03-06,Preventive,Valve,Actuator fault,P3,TECH0055,CBRE Ops,9.4,1.11,625,1231,2090,10.12,18.35,Completed,0,0,2024-03
WO0001350,AST00097,DAL01,AMER-Central,2024-03-06,Corrective,Sensor,Temperature sensor,P2,TECH0058,CBRE Ops,3.9,6.92,4481,577,5361,2.13,7.29,Completed,1,0,2024-03
WO0002277,AST00160,ATL01,AMER-East,2024-03-06,Corrective,Fan Motor,VFD issue,P2,TECH0066,Vertiv Services,11.5,8.0,4400,1403,6121,3.99,17.9,Completed,1,0,2024-03
WO0007114,AST00494,ATL01,AMER-East,2024-03-06,Corrective,Routine Wear,Alignment,P1,TECH0026,CBRE Ops,18.6,12.1,5461,1971,7572,3.2,22.88,Completed,1,1,2024-03
WO0004875,AST00347,NYC01,AMER-East,2024-03-06,Preventive,Routine Wear,Alignment,P3,TECH0072,FacilityPro,9.6,2.75,915,1238,2226,10.85,22.55,Completed,0,0,2024-03
WO0007590,AST00527,ATL01,AMER-East,2024-03-06,Preventive,Valve,Actuator fault,P3,TECH0110,DataVolt,8.1,3.14,748,769,1816,7.59,18.22,Closed,0,0,2024-03
WO0003108,AST00220,SJC01,AMER-West,2024-03-06,Preventive,Sensor,Flow sensor,P2,TECH0055,EcoCool,3.8,2.8,554,478,1394,8.9,13.54,Completed,0,0,2024-03
WO0003085,AST00219,SJC01,AMER-West,2024-03-06,Corrective,Routine Wear,Inspection finding,P3,TECH0088,Vertiv Services,4.4,5.16,1780,440,2293,0.35,5.67,Completed,0,0,2024-03
WO0002239,AST00158,DAL01,AMER-Central,2024-03-06,Corrective,Fan Motor,VFD issue,P4,TECH0095,EcoCool,6.6,5.99,2751,798,3708,2.27,10.15,Completed,1,1,2024-03
WO0005195,AST00365,NYC01,AMER-East,2024-03-06,Corrective,Cooling Loop,Pump,P2,TECH0118,ABB Services,18.2,9.18,4321,2293,6740,2.43,22.45,In Review,1,1,2024-03
WO0004665,AST00328,LAX01,AMER-West,2024-03-07,Corrective,Compressor,Compressor vibration,P4,TECH0041,CBRE Ops,17.7,11.09,5409,2124,7824,1.62,21.72,Completed,1,1,2024-03
WO0001515,AST00110,LAX01,AMER-West,2024-03-07,Preventive,Routine Wear,Alignment,P2,TECH0062,PowerGrid Mechanical,8.0,2.05,726,1032,1949,8.07,16.66,Closed,0,0,2024-03
WO0000629,AST00048,ASH01,AMER-East,2024-03-07,Corrective,Sensor,Temperature sensor,P4,TECH0110,EcoCool,9.1,9.09,2327,1055,3720,0.2,10.44,Completed,1,1,2024-03
WO0004306,AST00307,SJC01,AMER-West,2024-03-07,Preventive,Valve,Actuator fault,P2,TECH0055,FacilityPro,6.2,3.55,512,675,1465,7.15,13.74,Completed,0,0,2024-03
WO0006409,AST00438,CHI01,AMER-East,2024-03-07,Corrective,Battery,Cell degradation,P2,TECH0096,EcoCool,16.1,2.49,5429,2318,7844,2.96,19.85,Closed,0,0,2024-03
WO0005380,AST00377,CHI01,AMER-East,2024-03-07,Corrective,Valve,Actuator fault,P3,TECH0060,FacilityPro,11.6,6.13,1035,1496,2880,2.35,16.38,Closed,1,0,2024-03
WO0006876,AST00475,SEA01,AMER-West,2024-03-07,Preventive,Battery,Battery bank,P3,TECH0108,CBRE Ops,7.0,0.67,935,616,1927,8.91,17.06,Completed,0,0,2024-03
WO0006134,AST00421,TOR01,AMER-Central,2024-03-07,Preventive,Battery,Battery bank,P2,TECH0048,DataVolt,5.4,1.04,647,480,1284,8.54,14.07,Completed,0,0,2024-03
WO0003611,AST00259,SEA01,AMER-West,2024-03-07,Preventive,Valve,Actuator fault,P3,TECH0056,ABB Services,7.1,2.43,847,965,1947,9.66,19.81,Completed,0,0,2024-03
WO0002942,AST00207,TOR01,AMER-Central,2024-03-07,Corrective,Cable,Connection looseness,P4,TECH0085,Vertiv Services,2.2,11.76,3413,213,3783,0.97,3.55,In Review,1,0,2024-03
WO0007359,AST00510,NYC01,AMER-East,2024-03-07,Corrective,Routine Wear,Seal wear,P2,TECH0095,ABB Services,15.5,4.37,4595,2170,7058,4.88,22.56,Completed,0,1,2024-03
WO0000132,AST00008,MIA01,AMER-Central,2024-03-07,Corrective,Routine Wear,Alignment,P4,TECH0040,FacilityPro,14.7,7.5,3273,1969,5349,2.49,17.61,Closed,1,1,2024-03
WO0002518,AST00178,SEA01,AMER-West,2024-03-07,Preventive,Cooling Loop,Heat exchanger,P4,TECH0070,ABB Services,4.8,0.95,545,475,1061,7.87,15.55,In Review,0,0,2024-03
WO0002634,AST00187,TOR01,AMER-Central,2024-03-07,Corrective,Battery,Battery bank,P4,TECH0028,Vertiv Services,12.7,4.48,150,1638,1877,0.81,13.09,Completed,0,0,2024-03
WO0006292,AST00431,ATL01,AMER-East,2024-03-07,Corrective,Battery,Cell degradation,P2,TECH0040,CBRE Ops,4.4,7.53,2250,602,3035,2.77,9.43,Completed,1,1,2024-03
WO0002955,AST00207,TOR01,AMER-Central,2024-03-08,Corrective,Cable,Insulation wear,P2,TECH0051,Vertiv Services,8.9,8.26,3208,1165,4754,1.66,13.11,In Review,1,0,2024-03
WO0003028,AST00213,NYC01,AMER-East,2024-03-08,Corrective,Sensor,Pressure sensor,P4,TECH0080,PowerGrid Mechanical,10.6,10.68,5965,1102,7200,0.2,10.63,Completed,1,0,2024-03
WO0005666,AST00393,CHI01,AMER-East,2024-03-08,Corrective,Sensor,Flow sensor,P3,TECH0017,DataVolt,26.9,8.15,3167,4061,7329,1.32,30.21,Completed,1,0,2024-03
WO0001822,AST00129,SJC01,AMER-West,2024-03-08,Preventive,Compressor,Start failure,P4,TECH0037,PowerGrid Mechanical,5.1,2.02,520,540,1391,9.13,17.07,Completed,0,0,2024-03
WO0003933,AST00283,CHI01,AMER-East,2024-03-08,Corrective,Cooling Loop,Heat exchanger,P2,TECH0107,ABB Services,14.6,3.36,1951,2029,4137,1.02,15.35,Closed,0,0,2024-03
WO0005498,AST00384,DAL01,AMER-Central,2024-03-08,Preventive,Compressor,Compressor vibration,P3,TECH0115,EcoCool,6.9,2.23,358,717,1308,7.61,15.58,Completed,0,0,2024-03
WO0000603,AST00046,LAX01,AMER-West,2024-03-08,Preventive,Routine Wear,Alignment,P2,TECH0003,ABB Services,2.4,3.39,926,288,1262,8.83,12.48,Completed,0,0,2024-03
WO0001274,AST00092,DEN01,AMER-Central,2024-03-08,Preventive,Sensor,Flow sensor,P3,TECH0032,DataVolt,2.9,1.25,606,255,1149,8.32,13.01,Completed,0,0,2024-03
WO0005835,AST00403,SJC01,AMER-West,2024-03-08,Corrective,Compressor,Start failure,P4,TECH0026,PowerGrid Mechanical,7.6,7.83,4388,866,5432,0.97,11.28,Completed,1,0,2024-03
WO0004229,AST00302,LAX01,AMER-West,2024-03-08,Corrective,Battery,Battery connector,P3,TECH0078,PowerGrid Mechanical,3.6,7.41,3661,500,4416,1.7,6.49,Completed,1,1,2024-03
WO0006572,AST00450,LAX01,AMER-West,2024-03-08,Preventive,Routine Wear,Inspection finding,P2,TECH0027,EcoCool,3.2,1.15,377,332,759,10.74,14.79,Completed,0,0,2024-03
WO0001913,AST00135,SJC01,AMER-West,2024-03-08,Preventive,Breaker,Connection heat,P4,TECH0019,Schneider Services,10.3,2.74,922,978,2067,7.37,18.38,Completed,0,0,2024-03
WO0007082,AST00492,DAL01,AMER-Central,2024-03-08,Corrective,Routine Wear,Inspection finding,P1,TECH0108,EcoCool,12.9,8.93,4043,1831,6090,1.61,15.64,Completed,1,0,2024-03
WO0002008,AST00141,CHI01,AMER-East,2024-03-08,Corrective,Sensor,Temperature sensor,P4,TECH0040,ABB Services,14.1,8.59,4039,1917,6094,1.42,15.9,Completed,1,0,2024-03
WO0002765,AST00195,ASH01,AMER-East,2024-03-08,Preventive,Routine Wear,Alignment,P2,TECH0094,EcoCool,5.2,0.78,815,540,1411,7.15,12.94,Completed,0,0,2024-03
WO0001220,AST00088,CHI01,AMER-East,2024-03-08,Preventive,Routine Wear,Inspection finding,P3,TECH0068,FacilityPro,2.9,2.53,363,321,1065,7.41,10.61,Completed,0,0,2024-03
WO0007752,AST00540,DAL01,AMER-Central,2024-03-08,Preventive,Compressor,Compressor vibration,P4,TECH0075,ABB Services,7.8,1.53,710,928,1688,9.7,19.01,Closed,0,0,2024-03
WO0003337,AST00231,SEA01,AMER-West,2024-03-08,Preventive,Fan Motor,Bearing wear,P4,TECH0021,CBRE Ops,7.1,2.43,882,624,1644,7.31,15.58,Completed,0,0,2024-03
WO0002770,AST00195,ASH01,AMER-East,2024-03-08,Corrective,Fan Motor,Bearing wear,P3,TECH0048,DataVolt,9.7,7.98,2339,1222,3901,1.5,10.6,Completed,1,0,2024-03
WO0001637,AST00117,NYC01,AMER-East,2024-03-09,Preventive,Rectifier,Power board,P3,TECH0081,ABB Services,6.7,2.46,739,857,1695,8.84,18.31,In Review,0,0,2024-03
WO0003575,AST00255,DEN01,AMER-Central,2024-03-09,Corrective,Fan Motor,VFD issue,P3,TECH0107,Vertiv Services,13.3,4.75,2300,2128,4662,2.7,17.23,Completed,0,0,2024-03
WO0001691,AST00120,TOR01,AMER-Central,2024-03-09,Corrective,Battery,Battery bank,P2,TECH0035,ABB Services,2.0,6.64,5534,284,6200,3.09,6.01,Completed,1,0,2024-03
WO0001679,AST00120,TOR01,AMER-Central,2024-03-09,Corrective,Battery,Cell degradation,P3,TECH0054,EcoCool,4.1,6.93,3583,610,4324,1.87,8.01,Completed,1,0,2024-03
WO0006897,AST00476,ASH01,AMER-East,2024-03-09,Corrective,Cooling Loop,Pump,P3,TECH0047,FacilityPro,11.1,0.6,2048,1265,3591,3.1,14.07,In Review,0,0,2024-03
WO0006051,AST00417,ASH01,AMER-East,2024-03-09,Corrective,Firmware,Patch gap,P1,TECH0083,PowerGrid Mechanical,12.4,5.75,4373,1636,6197,1.92,16.23,Completed,1,0,2024-03
WO0001311,AST00095,NYC01,AMER-East,2024-03-09,Corrective,Cooling Loop,Heat exchanger,P3,TECH0047,Vertiv Services,8.2,8.02,4675,910,5821,2.31,11.69,Closed,1,0,2024-03
WO0002294,AST00162,ASH01,AMER-East,2024-03-09,Preventive,Valve,Valve leak,P3,TECH0105,DataVolt,7.3,0.88,754,788,1778,8.18,15.59,Closed,0,0,2024-03
WO0003229,AST00226,CHI01,AMER-East,2024-03-09,Corrective,Transformer,Insulation aging,P2,TECH0026,PowerGrid Mechanical,19.4,3.92,4874,1978,6987,3.57,23.49,Completed,0,1,2024-03
WO0004440,AST00317,PHX01,AMER-West,2024-03-09,Corrective,Compressor,Start failure,P1,TECH0100,PowerGrid Mechanical,8.7,3.02,2149,983,3338,0.9,12.33,Closed,0,1,2024-03
WO0001087,AST00079,SJC01,AMER-West,2024-03-09,Corrective,Battery,Battery bank,P4,TECH0023,Schneider Services,18.4,8.85,5129,2649,7933,0.65,20.74,Completed,1,0,2024-03
WO0005375,AST00377,CHI01,AMER-East,2024-03-09,Corrective,Compressor,Compressor vibration,P3,TECH0070,FacilityPro,11.2,5.56,2287,1792,4360,1.92,14.88,Completed,1,1,2024-03
WO0003978,AST00287,DAL01,AMER-Central,2024-03-09,Preventive,Cooling Loop,Coolant leak,P3,TECH0088,PowerGrid Mechanical,7.1,1.86,249,837,1135,8.57,17.08,Closed,0,0,2024-03
WO0005710,AST00395,PHX01,AMER-West,2024-03-09,Preventive,Sensor,Pressure sensor,P3,TECH0031,ABB Services,4.3,1.36,1220,597,2180,7.68,11.38,Completed,0,0,2024-03
WO0001302,AST00095,NYC01,AMER-East,2024-03-09,Corrective,Valve,Actuator fault,P4,TECH0101,Vertiv Services,20.4,9.77,2467,2244,5088,2.39,24.81,Completed,1,0,2024-03
WO0005920,AST00408,DAL01,AMER-Central,2024-03-09,Preventive,Rectifier,Rectifier module,P2,TECH0048,Schneider Services,5.2,1.59,389,676,1251,8.0,14.6,Closed,0,0,2024-03
WO0007007,AST00484,ASH01,AMER-East,2024-03-09,Corrective,Routine Wear,Alignment,P2,TECH0044,ABB Services,12.8,8.11,2591,1843,4558,1.86,15.73,Completed,1,0,2024-03
WO0003251,AST00228,DEN01,AMER-Central,2024-03-09,Corrective,Valve,Valve leak,P2,TECH0065,ABB Services,13.6,3.39,967,1482,2628,2.11,17.26,Completed,0,0,2024-03
WO0000504,AST00040,MIA01,AMER-Central,2024-03-09,Corrective,Cable,Insulation wear,P3,TECH0064,CBRE Ops,5.8,3.17,2950,788,4116,2.56,10.33,Completed,0,0,2024-03
WO0000010,AST00001,SEA01,AMER-West,2024-03-10,Corrective,Cooling Loop,Coolant leak,P2,TECH0034,DataVolt,16.1,1.73,3358,1642,5112,1.18,17.8,Closed,0,0,2024-03
WO0001112,AST00082,SEA01,AMER-West,2024-03-10,Preventive,Sensor,Temperature sensor,P2,TECH0064,CBRE Ops,8.2,1.81,1106,975,2263,8.71,18.3,Completed,0,0,2024-03
WO0004393,AST00315,TOR01,AMER-Central,2024-03-10,Corrective,Sensor,Pressure sensor,P2,TECH0087,DataVolt,12.9,10.03,4868,2012,7164,0.41,14.57,Closed,1,0,2024-03
WO0007728,AST00538,DEN01,AMER-Central,2024-03-10,Corrective,Routine Wear,Seal wear,P1,TECH0015,PowerGrid Mechanical,9.0,4.15,1756,1215,3241,2.52,14.74,Completed,0,1,2024-03
WO0006352,AST00434,LAX01,AMER-West,2024-03-10,Corrective,Compressor,Bearing wear,P4,TECH0043,Vertiv Services,11.2,4.81,3649,1579,5284,2.44,13.16,Completed,0,0,2024-03
WO0005247,AST00368,LAX01,AMER-West,2024-03-10,Corrective,Transformer,Insulation aging,P4,TECH0030,Vertiv Services,13.4,5.62,5413,1286,6876,3.18,19.74,Completed,1,0,2024-03
WO0001476,AST00106,DAL01,AMER-Central,2024-03-10,Corrective,Routine Wear,Alignment,P3,TECH0097,Vertiv Services,15.2,10.85,7050,1565,8822,0.2,15.31,Completed,1,0,2024-03
WO0004464,AST00319,CHI01,AMER-East,2024-03-10,Corrective,Controller,Settings drift,P2,TECH0038,ABB Services,21.6,6.98,1201,2743,4181,3.19,27.33,Closed,1,1,2024-03
WO0006139,AST00421,TOR01,AMER-Central,2024-03-10,Corrective,Capacitor,Capacitor aging,P2,TECH0023,Schneider Services,2.3,5.62,2952,370,3674,2.17,7.41,Closed,1,0,2024-03
WO0007634,AST00531,LAX01,AMER-West,2024-03-10,Preventive,Valve,Valve leak,P4,TECH0097,DataVolt,1.5,2.66,816,195,1115,9.37,12.53,In Review,0,0,2024-03
WO0000604,AST00046,LAX01,AMER-West,2024-03-11,Preventive,Cooling Loop,Heat exchanger,P3,TECH0040,Vertiv Services,5.6,2.26,489,610,1366,8.12,13.65,Completed,0,0,2024-03
WO0004449,AST00317,PHX01,AMER-West,2024-03-11,Corrective,Sensor,Pressure sensor,P3,TECH0001,ABB Services,14.2,7.06,7344,1746,9184,0.21,13.31,In Review,1,1,2024-03
WO0002546,AST00179,SEA01,AMER-West,2024-03-11,Corrective,Valve,Valve blockage,P4,TECH0014,Schneider Services,17.0,7.66,6922,2533,9684,1.92,19.88,Completed,1,0,2024-03
WO0006622,AST00455,ATL01,AMER-East,2024-03-11,Corrective,Battery,Battery connector,P3,TECH0112,FacilityPro,15.7,7.01,3796,2229,6347,2.97,20.69,Closed,1,0,2024-03
WO0003715,AST00267,DAL01,AMER-Central,2024-03-11,Preventive,Battery,Cell degradation,P2,TECH0021,Vertiv Services,7.4,1.39,605,740,1540,8.69,17.84,Completed,0,0,2024-03
WO0005109,AST00360,ASH01,AMER-East,2024-03-11,Corrective,Sensor,Flow sensor,P2,TECH0052,Schneider Services,11.9,1.85,3402,1404,5138,0.8,14.7,Completed,0,0,2024-03
WO0003844,AST00275,ATL01,AMER-East,2024-03-11,Corrective,Battery,Cell degradation,P4,TECH0006,FacilityPro,14.2,2.54,2098,2172,4498,0.92,15.12,Completed,0,0,2024-03
WO0003957,AST00284,TOR01,AMER-Central,2024-03-11,Preventive,Sensor,Pressure sensor,P4,TECH0079,Vertiv Services,10.2,3.15,628,1019,1799,9.52,21.76,Completed,0,0,2024-03
WO0007417,AST00513,TOR01,AMER-Central,2024-03-11,Preventive,Routine Wear,Inspection finding,P1,TECH0040,CBRE Ops,1.5,1.36,588,196,1048,9.08,12.39,Completed,0,0,2024-03
WO0007106,AST00494,ATL01,AMER-East,2024-03-11,Corrective,Compressor,Compressor vibration,P3,TECH0114,DataVolt,7.3,7.66,3925,876,4919,1.18,9.09,Completed,1,0,2024-03
WO0005156,AST00361,CHI01,AMER-East,2024-03-11,Corrective,Sensor,Flow sensor,P4,TECH0054,DataVolt,20.6,2.84,5876,3193,9262,0.36,22.8,Completed,0,1,2024-03
WO0002155,AST00153,DEN01,AMER-Central,2024-03-12,Preventive,Compressor,Start failure,P3,TECH0036,CBRE Ops,6.4,1.65,163,627,1132,9.83,15.52,Closed,0,0,2024-03
WO0005792,AST00401,MIA01,AMER-Central,2024-03-12,Preventive,Rectifier,Power board,P3,TECH0101,FacilityPro,3.8,2.89,468,410,1117,9.35,13.35,Completed,0,0,2024-03
WO0003973,AST00287,DAL01,AMER-Central,2024-03-12,Corrective,Routine Wear,Alignment,P2,TECH0013,CBRE Ops,2.9,3.66,2369,333,2901,1.05,6.6,Completed,0,0,2024-03
WO0004505,AST00321,CHI01,AMER-East,2024-03-12,Corrective,Compressor,Start failure,P4,TECH0101,EcoCool,17.8,9.01,4195,1744,6134,0.2,19.13,Completed,1,0,2024-03
WO0005544,AST00386,CHI01,AMER-East,2024-03-12,Corrective,Routine Wear,Alignment,P4,TECH0062,Schneider Services,25.5,7.02,5959,2983,9090,1.51,29.66,Completed,1,0,2024-03
WO0007145,AST00496,DEN01,AMER-Central,2024-03-12,Corrective,Cooling Loop,Coolant leak,P3,TECH0039,Schneider Services,12.9,6.82,3144,1999,5515,1.49,17.12,Completed,1,1,2024-03
WO0003728,AST00269,SJC01,AMER-West,2024-03-12,Preventive,Controller,Control board,P2,TECH0102,EcoCool,7.0,2.58,521,714,1323,6.82,15.23,Completed,0,0,2024-03
WO0002180,AST00154,SJC01,AMER-West,2024-03-13,Corrective,Cable,Connection looseness,P4,TECH0111,FacilityPro,11.6,4.21,2305,1798,4338,0.2,11.11,Completed,0,0,2024-03
WO0006759,AST00466,SJC01,AMER-West,2024-03-13,Preventive,Cooling Loop,Coolant leak,P2,TECH0036,Vertiv Services,6.7,1.56,615,576,1256,7.86,17.0,Completed,0,0,2024-03
WO0000031,AST00003,CHI01,AMER-East,2024-03-13,Corrective,Fan Motor,VFD issue,P2,TECH0038,CBRE Ops,27.8,3.19,1886,3586,5815,0.2,29.16,Completed,0,1,2024-03
WO0000594,AST00045,NYC01,AMER-East,2024-03-13,Preventive,Compressor,Bearing wear,P2,TECH0075,ABB Services,8.5,2.67,900,1071,2030,7.68,17.37,Completed,0,0,2024-03
WO0001032,AST00075,SJC01,AMER-West,2024-03-13,Corrective,Breaker,Trip event,P3,TECH0119,ABB Services,15.9,8.7,4308,1733,6083,4.28,21.96,In Review,1,0,2024-03
WO0001177,AST00086,ATL01,AMER-East,2024-03-13,Preventive,Routine Wear,Inspection finding,P2,TECH0003,ABB Services,5.0,2.68,595,440,1107,11.37,19.26,Closed,0,0,2024-03
WO0003584,AST00257,ASH01,AMER-East,2024-03-13,Preventive,Capacitor,Thermal stress,P4,TECH0120,EcoCool,5.0,1.48,814,635,1557,8.43,14.53,Completed,0,0,2024-03
WO0002650,AST00187,TOR01,AMER-Central,2024-03-13,Corrective,Fuel System,Fuel pump,P1,TECH0067,FacilityPro,14.8,4.29,504,2190,2806,1.59,16.91,Completed,0,0,2024-03
WO0004530,AST00321,CHI01,AMER-East,2024-03-13,Corrective,Compressor,Compressor vibration,P3,TECH0111,EcoCool,13.4,3.01,5794,2144,8215,1.53,16.96,Completed,0,0,2024-03
WO0000372,AST00026,DAL01,AMER-Central,2024-03-13,Preventive,Fuel System,Fuel pump,P2,TECH0061,EcoCool,5.2,1.35,795,660,1812,8.47,15.62,Completed,0,0,2024-03
WO0003185,AST00224,SEA01,AMER-West,2024-03-13,Corrective,Sensor,Flow sensor,P3,TECH0040,DataVolt,10.1,0.6,3583,1525,5316,1.93,14.6,Completed,0,0,2024-03
WO0006715,AST00464,ATL01,AMER-East,2024-03-13,Preventive,Valve,Valve blockage,P2,TECH0080,FacilityPro,3.1,2.31,186,322,783,9.28,12.7,Completed,0,0,2024-03
WO0005834,AST00403,SJC01,AMER-West,2024-03-14,Corrective,Sensor,Pressure sensor,P3,TECH0036,Schneider Services,7.1,10.1,3442,1072,4583,2.07,8.03,Closed,1,1,2024-03
WO0001053,AST00076,PHX01,AMER-West,2024-03-14,Preventive,Sensor,Flow sensor,P1,TECH0076,FacilityPro,4.1,1.62,822,483,1372,9.74,14.13,Completed,0,0,2024-03
WO0001897,AST00134,LAX01,AMER-West,2024-03-14,Preventive,Routine Wear,Seal wear,P1,TECH0115,Vertiv Services,6.4,0.93,503,870,1642,10.22,19.86,Completed,0,0,2024-03
WO0004470,AST00319,CHI01,AMER-East,2024-03-14,Corrective,Cooling Loop,Pump,P3,TECH0089,PowerGrid Mechanical,2.3,7.05,2643,294,3139,0.2,4.16,Completed,1,0,2024-03
WO0002619,AST00185,MIA01,AMER-Central,2024-03-14,Preventive,Sensor,Temperature sensor,P3,TECH0110,Schneider Services,6.0,2.07,962,756,1799,8.8,15.21,Completed,0,0,2024-03
WO0005542,AST00386,CHI01,AMER-East,2024-03-14,Preventive,Cable,Connection looseness,P3,TECH0002,ABB Services,5.6,0.94,979,705,1848,8.25,15.62,In Review,0,0,2024-03
WO0006357,AST00435,DAL01,AMER-Central,2024-03-14,Corrective,Routine Wear,Seal wear,P3,TECH0091,Schneider Services,15.2,2.31,2517,2249,5142,2.82,19.36,In Review,0,1,2024-03
WO0003147,AST00222,SJC01,AMER-West,2024-03-14,Corrective,Cooling Loop,Heat exchanger,P3,TECH0019,PowerGrid Mechanical,2.0,4.38,3146,308,3705,3.27,6.69,Completed,0,0,2024-03
WO0003976,AST00287,DAL01,AMER-Central,2024-03-14,Corrective,Routine Wear,Inspection finding,P2,TECH0047,EcoCool,4.5,5.64,1640,630,2400,2.44,7.5,Completed,1,0,2024-03
WO0003273,AST00229,DAL01,AMER-Central,2024-03-14,Corrective,Valve,Valve leak,P4,TECH0112,FacilityPro,16.7,10.07,3412,2705,6366,0.32,18.28,Completed,1,0,2024-03
WO0005409,AST00379,SJC01,AMER-West,2024-03-14,Corrective,Capacitor,Thermal stress,P3,TECH0002,ABB Services,10.5,5.66,4462,1470,6133,0.2,12.26,Completed,1,0,2024-03
WO0002091,AST00147,ATL01,AMER-East,2024-03-14,Corrective,Breaker,Breaker wear,P2,TECH0101,DataVolt,2.0,0.6,2778,324,3437,1.7,5.98,Completed,0,0,2024-03
